1A	0.0	0.0
1A	1.7075	1.7075
1A	3.415	3.415
1A	12.608	12.608
1A	14.7975	14.7975
1A	16.987	16.987
1A	18.213	18.213
1A	19.439	20.586
1A	20.0125	20.586
1A	20.586	20.586
1A	21.1595	20.586
1A	21.733	20.586
1A	22.87	22.87
1A	24.007	24.007
1A	25.144	25.144
1A	26.281	26.858
1A	26.858	26.858
1A	27.435	26.858
1A	28.574	28.574
1A	30.867	31.435
1A	31.435	31.435
1A	32.003	31.435
1A	33.1405	34.2774
1A	33.7085	34.2774
1A	34.278	34.2774
1A	34.846	34.2774
1A	35.414	34.2774
1A	35.9825	36.834875
1A	36.551	36.834875
1A	37.119	36.834875
1A	37.687	36.834875
1A	38.8245	38.8245
1A	39.962	40.53
1A	40.53	40.53
1A	41.098	40.53
1A	42.237	42.521
1A	42.805	42.521
1A	44.512	44.512
1A	45.6495	45.6495
1A	46.7865	46.78675
1A	46.787	46.78675
1A	47.924	49.2504166667
1A	48.4925	49.2504166667
1A	49.061	49.2504166667
1A	49.6295	49.2504166667
1A	50.1975	49.2504166667
1A	50.198	49.2504166667
1A	50.766	51.618375
1A	51.334	51.618375
1A	51.9025	51.618375
1A	52.471	51.618375
1A	53.608	53.608
1A	54.745	55.8817
1A	55.3135	55.8817
1A	55.882	55.8817
1A	56.45	55.8817
1A	57.018	55.8817
1A	57.5865	58.723
1A	58.155	58.723
1A	58.723	58.723
1A	59.291	58.723
1A	59.8595	58.723
1A	60.4275	61.4019285714
1A	60.428	61.4019285714
1A	60.996	61.4019285714
1A	61.564	61.4019285714
1A	61.5645	61.4019285714
1A	62.1325	61.4019285714
1A	62.701	61.4019285714
1A	64.408	64.408
1A	66.115	67.2516666667
1A	66.6835	67.2516666667
1A	67.2515	67.2516666667
1A	67.252	67.2516666667
1A	67.82	67.2516666667
1A	68.388	67.2516666667
1A	68.9565	69.24075
1A	69.525	69.24075
1A	70.6635	70.6635
1A	72.939	74.076
1A	73.5075	74.076
1A	74.076	74.076
1A	74.6445	74.076
1A	75.213	74.076
1A	75.781	76.633375
1A	76.349	76.633375
1A	76.9175	76.633375
1A	77.486	76.633375
1A	79.193	79.193
1A	80.9	80.9
1A	82.037	82.037
1A	83.174	83.17575
1A	83.1775	83.17575
1A	84.3145	84.3145
1A	85.455	85.455
1A	86.5955	86.5955
1A	87.736	87.736
1A	96.127	97.024
1A	97.024	97.024
1A	97.921	97.024
1A	105.085	105.085
1A	106.82	106.82
1A	108.554	109.6902
1A	109.122	109.6902
1A	109.69	109.6902
1A	110.258	109.6902
1A	110.827	109.6902
1A	111.395	112.5318
1A	111.964	112.5318
1A	112.532	112.5318
1A	113.1	112.5318
1A	113.668	112.5318
1A	114.237	114.862333333
1A	114.862	114.862333333
1A	115.488	114.862333333
1A	116.683	116.683
1A	117.878	117.878
1B	0.0	0.0
1B	1.137	1.137
1B	2.274	2.274
1B	5.689	6.8253
1B	6.257	6.8253
1B	6.825	6.8253
1B	7.3935	6.8253
1B	7.962	6.8253
1B	9.1005	9.38475
1B	9.669	9.38475
1B	11.376	11.376
1B	12.513	12.513
1B	13.65	13.65
1B	15.3575	15.3575
1B	17.065	18.2013
1B	17.633	18.2013
1B	18.201	18.2013
1B	18.7695	18.2013
1B	19.338	18.2013
1B	20.475	20.475
1B	21.612	21.612
1B	23.3195	23.3195
1B	24.456	25.6893333333
1B	25.027	25.6893333333
1B	25.595	25.6893333333
1B	26.163	25.6893333333
1B	26.1635	25.6893333333
1B	26.7315	25.6893333333
1B	27.3	28.437
1B	27.8685	28.437
1B	28.437	28.437
1B	29.0055	28.437
1B	29.574	28.437
1B	30.1425	31.18425
1B	30.7105	31.18425
1B	30.711	31.18425
1B	31.279	31.18425
1B	31.847	31.18425
1B	32.4155	31.18425
1B	32.984	32.984
1B	34.691	34.691
1B	36.398	37.5428
1B	36.9665	37.5428
1B	37.535	37.5428
1B	38.123	37.5428
1B	38.6915	37.5428
1B	39.848	39.848
1B	41.5745	41.85875
1B	42.143	41.85875
1B	43.301	44.6000714286
1B	43.8695	44.6000714286
1B	44.4375	44.6000714286
1B	44.438	44.6000714286
1B	45.006	44.6000714286
1B	45.574	44.6000714286
1B	45.5745	44.6000714286
1B	46.1425	47.1844166667
1B	46.7105	47.1844166667
1B	46.711	47.1844166667
1B	47.279	47.1844166667
1B	47.847	47.1844166667
1B	48.4165	47.1844166667
1B	48.9845	50.1214
1B	49.5525	50.1214
1B	50.122	50.1214
1B	50.69	50.1214
1B	51.258	50.1214
1B	52.395	52.395
1B	53.532	54.669
1B	54.1005	54.669
1B	54.669	54.669
1B	55.2375	54.669
1B	55.806	54.669
1B	56.3745	56.65875
1B	56.943	56.65875
1B	58.08	58.08
1B	59.787	59.787
1B	61.494	62.6306666667
1B	62.0625	62.6306666667
1B	62.6305	62.6306666667
1B	62.631	62.6306666667
1B	63.199	62.6306666667
1B	63.767	62.6306666667
1B	64.3365	64.6205
1B	64.9045	64.6205
1B	66.042	66.042
1B	68.321	68.321
1B	70.6	70.6
1B	71.737	71.737
1B	72.874	72.874
1B	74.011	75.148
1B	74.5795	75.148
1B	75.148	75.148
1B	75.7165	75.148
1B	76.285	75.148
1B	76.853	77.705375
1B	77.421	77.705375
1B	77.9895	77.705375
1B	78.558	77.705375
1B	79.695	79.695
1B	80.832	80.832
1B	81.9695	81.9695
1B	83.107	83.107
1B	84.814	84.814
1B	86.521	87.0895
1B	87.0895	87.0895
1B	87.658	87.0895
1B	88.795	89.9316
1B	89.363	89.9316
1B	89.932	89.9316
1B	90.5	89.9316
1B	91.068	89.9316
1B	91.6365	91.92075
1B	92.205	91.92075
1B	93.912	93.912
1B	95.619	95.619
1B	97.3265	97.3265
1B	99.034	99.602
1B	99.602	99.602
1B	100.17	99.602
1B	101.308	101.308
1B	102.445	102.445
1B	103.582	103.582
1B	104.719	105.8554
1B	105.287	105.8554
1B	105.855	105.8554
1B	106.424	105.8554
1B	106.992	105.8554
1B	107.561	107.845
1B	108.129	107.845
1B	109.266	109.266
1B	110.403	111.5396
1B	110.971	111.5396
1B	111.539	111.5396
1B	112.108	111.5396
1B	112.677	111.5396
1B	113.814	113.814
1D	0.0	1.1363
1D	0.568	1.1363
1D	1.136	1.1363
1D	1.7045	1.1363
1D	2.273	1.1363
1D	2.8415	3.12575
1D	3.41	3.12575
1D	5.684	6.5225
1D	6.5225	6.5225
1D	7.361	6.5225
1D	8.2275	8.66075
1D	9.094	8.66075
1D	10.2315	10.2315
1D	11.369	11.937
1D	11.937	11.937
1D	12.505	11.937
1D	13.642	13.642
1D	14.779	14.779
1D	16.4865	16.4865
1D	18.194	18.762
1D	18.762	18.762
1D	19.33	18.762
1D	20.4675	20.4675
1D	21.605	21.605
1D	22.742	22.742
1D	23.879	25.2051666667
1D	24.4475	25.2051666667
1D	25.016	25.2051666667
1D	25.584	25.2051666667
1D	26.152	25.2051666667
1D	26.1525	25.2051666667
1D	26.7205	27.00475
1D	27.289	27.00475
1D	28.4275	28.71175
1D	28.996	28.71175
1D	30.703	30.703
1D	32.982	32.982
1D	35.261	35.8295
1D	35.8295	35.8295
1D	36.398	35.8295
1D	37.535	37.535
1D	38.672	38.672
1D	39.809	39.809
1D	40.946	41.8315
1D	41.8315	41.8315
1D	42.717	41.8315
1D	43.537	44.6575
1D	44.357	44.6575
1D	45.242	44.6575
1D	45.494	44.6575
1D	46.631	47.7673333333
1D	47.199	47.7673333333
1D	47.767	47.7673333333
1D	47.7675	47.7673333333
1D	48.3355	47.7673333333
1D	48.904	47.7673333333
1D	49.472	50.466875
1D	49.4725	50.466875
1D	50.0405	50.466875
1D	50.041	50.466875
1D	50.609	50.466875
1D	51.177	50.466875
1D	51.1775	50.466875
1D	51.7455	50.466875
1D	52.314	52.314
1D	53.451	53.451
1D	54.588	55.7247
1D	55.1565	55.7247
1D	55.725	55.7247
1D	56.293	55.7247
1D	56.861	55.7247
1D	57.998	57.998
1D	59.135	59.135
1D	60.2725	61.4094
1D	60.8405	61.4094
1D	61.41	61.4094
1D	61.978	61.4094
1D	62.546	61.4094
1D	63.6835	63.6835
1D	64.821	65.9573
1D	65.389	65.9573
1D	65.957	65.9573
1D	66.5255	65.9573
1D	67.094	65.9573
1D	67.662	68.7985
